Date,Actual,Forecast,Previous
2020-01-02,222K,225K,224K
2020-01-09,214K,220K,223K
2020-01-16,204K,216K,214K
2020-01-23,211K,215K,205K
2020-01-30,216K,215K,223K
2020-02-06,202K,215K,217K
2020-02-13,205K,210K,203K
2020-02-20,210K,210K,206K
2020-02-27,219K,212K,211K
2020-03-05,216K,215K,219K
2020-03-12,211K,218K,215K
2020-03-19,281K,220K,211K
2020-03-26,"3,283K","1,650K",282K
2020-04-02,"6,648K","3,500K","3,307K"
2020-04-09,"6,606K","5,250K","6,867K"
2020-04-16,"5,245K","5,105K","6,615K"
2020-04-23,"4,427K","4,200K","5,237K"
2020-04-30,"3,839K","3,500K","4,442K"
2020-05-07,"3,169K","3,000K","3,846K"
2020-05-14,"2,981K","2,500K","3,176K"
2020-05-21,"2,438K","2,400K","2,687K"
2020-05-28,"2,123K","2,100K","2,446K"
2020-06-04,"1,877K","1,800K","2,126K"
2020-06-11,"1,542K","1,550K","1,897K"
2020-06-18,"1,508K","1,300K","1,566K"
2020-06-25,"1,480K","1,300K","1,540K"
2020-07-02,"1,427K","1,355K","1,482K"
2020-07-09,"1,314K","1,375K","1,413K"
2020-07-16,"1,300K","1,250K","1,310K"
2020-07-23,"1,416K","1,300K","1,307K"
2020-07-30,"1,434K","1,450K","1,422K"
2020-08-06,"1,186K","1,415K","1,435K"
2020-08-13,963K,"1,120K","1,191K"
2020-08-20,"1,106K",925K,971K
2020-08-27,"1,006K","1,000K","1,104K"
2020-09-03,881K,950K,"1,011K"
2020-09-10,884K,846K,884K
2020-09-17,860K,850K,893K
2020-09-24,870K,840K,866K
2020-10-01,837K,850K,873K
2020-10-08,840K,820K,849K
2020-10-15,898K,825K,845K
2020-10-22,787K,860K,842K
2020-10-29,751K,775K,791K
2020-11-05,751K,732K,758K
2020-11-12,709K,735K,757K
2020-11-19,742K,707K,711K
2020-11-25,778K,730K,748K
2020-12-03,712K,775K,787K
2020-12-10,853K,725K,716K
2020-12-17,885K,800K,862K
2020-12-23,803K,885K,892K
2020-12-31,787K,833K,806K